timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2023/04/15 11:53:36.660, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.35 W, 55, 1860 MHz
2023/04/15 11:53:37.662, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.19 W, 56, 1860 MHz
2023/04/15 11:53:38.663, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.10 W, 55, 1860 MHz
2023/04/15 11:53:39.664, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.76 W, 56, 1860 MHz
2023/04/15 11:53:40.666, 4 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.02 W, 56, 1860 MHz
2023/04/15 11:53:41.667, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.96 W, 56, 1860 MHz
2023/04/15 11:53:42.668, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.92 W, 55, 1860 MHz
2023/04/15 11:53:43.670, 4 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.87 W, 55, 1860 MHz
2023/04/15 11:53:44.671, 7 %, 3 %, 24576 MiB, 23327 MiB, 940 MiB, 130.97 W, 55, 1860 MHz
2023/04/15 11:53:45.673, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.48 W, 55, 1860 MHz
2023/04/15 11:53:46.675, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.23 W, 56, 1860 MHz
2023/04/15 11:53:47.677, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.21 W, 55, 1860 MHz
2023/04/15 11:53:48.678, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.16 W, 55, 1860 MHz
2023/04/15 11:53:49.679, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.87 W, 55, 1860 MHz
2023/04/15 11:53:50.681, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.84 W, 55, 1860 MHz
2023/04/15 11:53:51.682, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.35 W, 55, 1860 MHz
2023/04/15 11:53:52.684, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.79 W, 56, 1860 MHz
2023/04/15 11:53:53.685, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.99 W, 56, 1860 MHz
2023/04/15 11:53:54.687, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.23 W, 55, 1860 MHz
2023/04/15 11:53:55.689, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.21 W, 55, 1860 MHz
2023/04/15 11:53:56.691, 6 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.10 W, 55, 1860 MHz
2023/04/15 11:53:57.693, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.48 W, 55, 1860 MHz
2023/04/15 11:53:58.694, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.98 W, 55, 1860 MHz
2023/04/15 11:53:59.696, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.93 W, 55, 1860 MHz
2023/04/15 11:54:00.698, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.93 W, 55, 1860 MHz
2023/04/15 11:54:01.700, 4 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 131.11 W, 55, 1860 MHz
2023/04/15 11:54:02.701, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.15 W, 56, 1860 MHz
2023/04/15 11:54:03.703, 7 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 130.40 W, 55, 1860 MHz
2023/04/15 11:54:04.705, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.76 W, 55, 1860 MHz
2023/04/15 11:54:05.707, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.59 W, 55, 1860 MHz
2023/04/15 11:54:06.709, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.71 W, 55, 1860 MHz
2023/04/15 11:54:07.711, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 130.91 W, 55, 1860 MHz
2023/04/15 11:54:08.712, 5 %, 2 %, 24576 MiB, 23327 MiB, 940 MiB, 131.13 W, 56, 1860 MHz
2023/04/15 11:54:09.714, 20 %, 7 %, 24576 MiB, 23327 MiB, 940 MiB, 145.10 W, 56, 1860 MHz
2023/04/15 11:54:10.716, 19 %, 7 %, 24576 MiB, 23327 MiB, 940 MiB, 147.43 W, 56, 1860 MHz
2023/04/15 11:54:11.717, 8 %, 3 %, 24576 MiB, 23327 MiB, 940 MiB, 143.32 W, 56, 1860 MHz
2023/04/15 11:54:12.719, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.12 W, 55, 1860 MHz
2023/04/15 11:54:13.720, 2 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.95 W, 55, 1860 MHz
2023/04/15 11:54:14.722, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 128.26 W, 55, 1860 MHz
2023/04/15 11:54:15.725, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.94 W, 55, 1860 MHz
2023/04/15 11:54:16.726, 3 %, 1 %, 24576 MiB, 23327 MiB, 940 MiB, 127.98 W, 55, 1860 MHz
